date,borrow_apr_percent,utilization_pct,total_supply_eth,total_borrow_eth,n_accruals
2026-03-24,1.9392580356950702,82.22881683547044,41543.613749278695,34160.82205672969,48
2026-03-23,1.942943041524212,81.4284382022824,40055.32718065465,32616.427340021393,103
2026-03-22,1.88333984525184,77.95522388694242,32374.82687895536,25237.868776499665,41
2026-03-21,1.9050823499267628,74.21071325550969,34006.72108500477,25236.630271993843,78
2026-03-20,1.8950270206997677,75.63491758548882,29380.623754980403,22222.01056318198,74
2026-03-19,2.1302039197603246,70.64176180317932,26565.452353586254,18766.3035735575,52
2026-03-18,2.841613953360934,86.43058325819224,19755.87564253897,17075.118545609566,73
2026-03-17,4.341176608205588,87.53326497361246,21790.269693576378,19073.734509342987,74
2026-03-16,2.4117748847999163,89.10526610778203,21403.990963908873,19072.08310607662,43
2026-03-15,2.286088801312752,87.10167806930978,21894.835762120725,19070.769359326507,30
2026-03-14,2.8264500281896456,89.47255462487401,21313.25017202794,19069.509402503754,63
2026-03-13,2.3356912977872706,88.8353274229459,22728.299235064744,20190.759043136673,67
2026-03-12,2.3654190462675277,84.86580618228494,24708.955096554102,20969.45394190942,49
2026-03-11,2.2367991306440906,85.62145911741185,24489.375287453055,20968.160449856176,31
2026-03-10,2.6495099832936035,84.18430166660167,24905.92460460582,20966.878701997735,61
2026-03-09,2.494236554596487,86.78225514254883,24159.229066575346,20965.923809028234,69
2026-03-08,2.23145811092196,83.82355951793845,24052.078638141436,20161.308452543846,18
2026-03-07,2.2567572803601,83.8759852541899,24047.405699830033,20169.99845880466,24
2026-03-06,2.466793347376037,82.54909277460217,24420.440516566836,20158.852097987296,56
2026-03-05,2.754748740780819,86.11058300977622,23408.930429910117,20157.566469548517,145
2026-03-04,2.7147081380274454,93.55738595328367,22455.995709589228,21009.242575673215,55
2026-03-03,2.739836696202132,85.4862975446674,24797.072736135615,21198.09938158049,71
2026-03-02,2.34350387841294,83.93095648383535,23759.621062814225,19941.677214954783,36
2026-03-01,2.363612021926167,84.6432314819844,23558.254319641634,19940.46773688886,11
2026-02-28,2.38444323617736,83.87087011598543,23773.471884510993,19939.01772631853,9
2026-02-27,2.428498916293718,83.41925792817625,23900.48297682138,19937.605540514483,19
2026-02-26,2.4293892743754575,84.49398535083779,23595.034398129705,19936.38490788085,23
2026-02-25,2.442995683223683,82.7805567638479,24081.989385359775,19935.204893011574,28
2026-02-24,2.4548677879153975,83.59055102294708,22853.64495315064,19103.48774516656,34
2026-02-23,2.4328376830719143,82.27790897121345,23155.408068312146,19051.78557235888,65
2026-02-22,2.456790969303418,80.46833793886304,21366.23811830052,17193.056693856233,25
2026-02-21,2.5107936012201897,79.21732925044161,21702.363113219668,17192.032442525615,49
2026-02-20,2.54585596521177,80.86668737715202,21239.397482381763,17175.59716286836,40
2026-02-19,2.5838594250184475,79.01609614313135,21733.918312444028,17173.2937894304,66
2026-02-18,2.694484921977884,85.19724545075177,20180.802443458626,17193.487791684754,33
2026-02-17,3.0873115191652456,82.33786837458969,20879.837966887455,17192.0135020034,84
2026-02-16,3.7226812882051026,94.91921832149137,18110.822949102196,17190.651574877073,70
2026-02-15,4.700760238319419,91.45172578347153,18799.347590179943,17192.327807253027,57
2026-02-14,4.046564473840496,92.20723384694539,18613.408385524748,17162.90899692775,64
2026-02-13,3.802116567107991,90.42438098683246,18826.505963369542,17023.75147882601,52
2026-02-12,2.816050599827365,90.8683126104497,19565.44576697714,17778.790423164788,51
2026-02-11,2.564803486367924,84.55999668607284,21023.63187457124,17777.582416429592,57
2026-02-10,3.2096246236047565,83.78655626514984,21216.152673937355,17776.283697448616,105
2026-02-09,3.341132074182639,95.21183216712755,18668.86779911954,17774.971076400616,157
2026-02-08,3.424740936507949,90.75274323480365,19601.76539400642,17789.139817511244,44
2026-02-07,4.903940567627132,91.13242980212691,19518.341575461374,17787.53893479669,103
2026-02-06,3.8569369440777566,93.33895081707682,19332.57880394549,18044.8262214873,83
2026-02-05,2.3883096285175682,86.34537000261693,20781.647979383997,17943.990840440478,45
2026-02-04,2.41287291839592,85.23914955611916,21049.86452195632,17942.725501230812,27
2026-02-03,3.7977589414862005,87.0793798951293,20603.759430603124,17941.625947253422,67
2026-02-02,4.751497301259569,93.9190698138368,19597.38160077641,18405.678507317203,46
2026-02-01,3.49272689251878,91.6680358102206,20076.277852144776,18403.529570863462,36
2026-01-31,4.257602106780089,90.16096631166576,20409.917255917306,18401.77862134646,38
2026-01-30,3.49576407466146,92.78028644708867,21408.752490334344,19863.101885280434,52
2026-01-29,3.556720866729134,92.11742001906543,21630.95153713947,19925.874481587256,51
2026-01-28,2.8100145597662056,89.4474965279679,22482.602189351375,20110.12481271691,49
2026-01-27,2.625087663068608,90.76254819472999,23140.24041895597,21002.6718626313,38
2026-01-26,3.30679944125208,91.97109249929014,22834.400110067454,21001.047246888145,72
2026-01-25,2.825175749905205,92.84897214807015,23402.3186904899,21728.81236293558,49
2026-01-24,2.315818357007975,90.3835194334822,23243.375045691806,21008.180401420006,67
2026-01-23,2.450037425481064,91.86533796916642,25903.941585535773,23796.743484887884,73
2026-01-22,2.0189572075532567,89.16620013947453,26744.635197945525,23847.174947172458,105
2026-01-21,1.9770922604529995,88.49819636816329,24757.962018980623,21910.349844312757,67
2026-01-20,2.327255500811914,90.02239026457646,23667.33633469706,21305.901880450892,61
2026-01-19,2.0890633486641343,90.51122414101636,23247.030736834142,21041.172096346916,65
2026-01-18,1.889739250190708,88.58291409075218,23247.75389761372,20593.53786315265,53
2026-01-17,2.285711944865428,88.43303987289444,23283.68486626228,20590.47032166081,102
2026-01-16,2.335746842098245,91.25260350115546,23734.580354507274,21658.422503561662,64
2026-01-15,2.154464718176946,90.39123415049059,24803.00397334367,22419.741397900565,44
2026-01-14,2.101665830417064,90.02884830117193,24901.444866762984,22418.484023898014,40
2026-01-13,2.1829446793743545,90.47099730828525,25390.586847429076,22971.11714329539,44
2026-01-12,2.15938566901701,90.98776034764938,26207.97414224285,23846.04870451784,72
2026-01-11,1.8622259894980957,87.34690098494461,26893.094464632377,23490.28459381006,46
2026-01-10,1.8126600744256613,86.567426706997,26124.595057626462,22615.389679010546,39
2026-01-09,2.055798750667743,86.01857659174787,26290.008446703472,22614.29105170461,69
2026-01-08,1.9327837886962747,90.48670260510617,25509.996495246745,23083.15466322693,23
2026-01-07,2.303560938530714,89.89397564799593,25676.782189840178,23081.880328923886,39
2026-01-06,2.4867800481991384,91.47577637985749,27070.326049607094,24762.790922436896,53
2026-01-05,1.9618838277653452,90.7142729440172,29347.059202671022,26621.97138615331,33
2026-01-04,1.7728881634274916,89.49805477799835,29681.63746722066,26564.488159420027,14
2026-01-03,2.0229529261794443,89.99409860096054,29517.599693941123,26564.097773202204,38
2026-01-02,2.0190132601924318,90.96240245604024,29372.56311174836,26717.98906936296,15
2026-01-01,1.8822593680282287,89.38237628548798,29890.128138078264,26716.506804591638,21
2025-12-31,1.98341770948308,90.73500068940152,29612.284932876588,26868.706937993116,26
2025-12-30,1.7793749566370878,90.92412307043661,29722.530859276223,27024.950538136814,15
2025-12-29,1.7265875868725145,90.45300479620059,28785.93808249095,26037.74595438687,21
2025-12-28,1.71293835615948,87.28057576591718,29650.948208643586,25879.518316558027,10
2025-12-27,1.7138607925215599,87.80010009898317,29062.53145346203,25516.93170743813,18
2025-12-26,1.7185744627846198,88.40105756412143,28713.64179826595,25383.163014840717,24
2025-12-25,1.7003040290100655,86.04406088010681,29142.84441520043,25075.686790809865,11
2025-12-24,1.729956458771568,85.04103956525218,29485.1798520361,25074.503463855785,35
2025-12-23,1.8965453687991038,86.17002838647133,28890.460301858504,24894.917843093703,49
